x,y
0.0,-0.250919762305275
0.10101010101010101,1.0024387138299335
0.20202020202020202,0.6660080856430122
0.30303030303030304,0.5003472714243762
0.40404040404040403,-0.283922315074723
0.5050505050505051,-0.18296045427708962
0.6060606060606061,-0.277772169602995
0.7070707070707071,1.4394229986205773
0.8080808080808081,1.0103108315672258
0.9090909090909091,1.3252360646830001
1.0101010101010102,0.05126999869261506
1.1111111111111112,2.0509308154351
1.2121212121212122,1.8770064937220559
1.3131313131313131,0.7378095344878655
1.4141414141414141,0.7777913485556154
1.5151515151515151,0.8819605348583828
1.6161616161616161,1.2246461020806914
1.7171717171717171,1.766684580436193
1.8181818181818181,1.6820718554660496
1.9191919191919191,1.5016501995880027
2.0202020202020203,2.243907809646779
2.121212121212121,1.400199842516205
2.2222222222222223,1.8065115192926586
2.323232323232323,2.0559560098197065
2.4242424242424243,2.336382392676496
2.525252525252525,3.095604448038552
2.6262626262626263,2.0256101905793455
2.727272727272727,2.75574160409995
2.8282828282828283,3.013111966006913
2.929292929292929,2.0221937547329247
3.0303030303030303,3.2453927341059075
3.131313131313131,2.4723613786877143
3.2323232323232323,2.3624264182937913
3.3333333333333335,4.23110440784
3.4343434343434343,4.365607500492553
3.5353535353535355,4.152148231586458
3.6363636363636362,3.245591174710378
3.7373737373737375,2.932717965386505
3.8383838383838382,4.206849891408152
3.9393939393939394,3.8196989268731425
4.040404040404041,3.284480510093598
4.141414141414141,4.131767961636681
4.242424242424242,3.311201284654679
4.343434343434343,5.162075147591907
4.444444444444445,3.9620044076444785
4.545454545454545,4.870499114162509
4.646464646464646,4.269886798643468
4.747474747474747,4.787610789830369
4.848484848484849,4.941905407171408
4.94949494949495,4.319203860546004
5.05050505050505,5.989674306034168
5.151515151515151,5.7017807982373805
5.252525252525253,6.131523135653631
5.353535353535354,6.143190054390652
5.454545454545454,5.650345412167624
5.555555555555555,6.399304025601789
5.656565656565657,4.833550660669496
5.757575757575758,5.149541482414048
5.858585858585858,4.949040436406934
5.959595959595959,5.610256621122488
6.0606060606060606,5.837960639985025
6.161616161616162,5.704314225163953
6.262626262626262,6.920101280930121
6.363636363636363,6.077143017023542
6.4646464646464645,6.0265154840212265
6.565656565656566,6.651048731973063
6.666666666666667,5.948515116616193
6.767676767676767,7.372070729184847
6.8686868686868685,6.01778815604641
6.96969696969697,7.943470842898005
7.070707070707071,7.615196609300385
7.171717171717171,6.569148534785516
7.2727272727272725,6.283771506974477
7.373737373737374,8.004660230647042
7.474747474747475,7.888462162442709
7.575757575757575,8.03377191183955
7.6767676767676765,8.219308370139569
7.777777777777778,6.925867081245959
7.878787878787879,7.595719335876424
7.979797979797979,7.211536098848239
8.080808080808081,8.807014932559268
8.181818181818182,8.428414435473297
8.282828282828282,7.94462433253358
8.383838383838384,7.510955084410432
8.484848484848484,8.106813128279809
8.585858585858587,8.23622522991208
8.686868686868687,9.146081043544815
8.787878787878787,9.062993730589213
8.88888888888889,9.663314374041542
8.98989898989899,8.934328840222888
9.09090909090909,8.330097582785694
9.191919191919192,9.618408766365182
9.292929292929292,9.814499390163087
9.393939393939394,9.516493789078387
9.494949494949495,10.036883854858617
9.595959595959595,9.583550788688378
9.696969696969697,9.742435355733685
9.797979797979798,9.653061834696897
9.8989898989899,8.94982815247809
10.0,9.215782853986608
